"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","GetSetProperties","groovy","OK","Message:Script-result: {CountryISOCode=com.eviware.soapui.impl.wsdl.support.XmlBeansPropertiesTestPropertyHolder$PropertiesStepProperty@3ef8bb50}
","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CapitalCity","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CountriesUsingCurrency","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CountryCurrency","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CountryFlag","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CountryIntPhoneCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CountryISOCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CountryName","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","CurrencyName","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","FullCountryInfo","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","FullCountryInfoAllCountries","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","LanguageISOCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","LanguageName","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfContinentsByCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfContinentsByName","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfCountryNamesByCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfCountryNamesByName","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfCountryNamesGroupedByContinent","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfCurrenciesByCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfCurrenciesByName","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfLanguagesByCode","request","OK","","01-Aug-2020 14_38",
"CountryInfoServiceSoapTestSuite1","CountryInfoServiceSoapBinding _TestCase1","ListOfLanguagesByName","request","OK","","01-Aug-2020 14_38",
"PropertyTransfer_TestSuite 2","CountryInfoService_TestCase1","CountryISOCode","request","OK","","01-Aug-2020 14_38",
"PropertyTransfer_TestSuite 2","CountryInfoService_TestCase1","Property Transfer","transfer","OK","Message:Performed transfer [CountryCode]
","01-Aug-2020 14_38",
"PropertyTransfer_TestSuite 2","CountryInfoService_TestCase1","CapitalCity","request","OK","","01-Aug-2020 14_38",
"PropertyTransfer_TestSuite 2","CountryInfoService_TestCase1","CountryISOCode","request","OK","","01-Aug-2020 14_38",
"PropertyTransfer_TestSuite 2","CountryInfoService_TestCase1","Groovy Script","groovy","OK","","01-Aug-2020 14_38",